Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
3,0,"Dinglehopper",001,32,Amber,Common,"$0.04","$0.20"
0,0,"Lantern",001,33,Amber,Rare,"$0.96","$4.57"
0,0,"Ursula's Shell Necklace",001,34,Amber,Rare,"$0.29","$0.82"
0,0,"Anna - Heir to Arendelle",001,35,Amethyst,Uncommon,"$0.10","$0.34"
0,0,"Archimedes - Highly Educated Owl",001,36,Amethyst,Common,"$0.09","$0.23"
1,0,"Dr. Facilier - Agent Provocateur",001,37,Amethyst,Rare,"$0.19","$1.09"
4,0,"Dr. Facilier - Charlatan",001,38,Amethyst,Common,"$0.06","$0.19"
0,0,"Dr. Facilier - Remarkable Gentleman",001,39,Amethyst,Rare,"$0.20","$0.91"
3,0,"Elsa - Queen Regent",001,40,Amethyst,Common,"$0.07","$0.21"
0,0,"Elsa - Snow Queen",001,41,Amethyst,Uncommon,"$0.16","$1.19"
0,0,"Elsa - Spirit of Winter",001,42,Amethyst,Legendary,"$15.76","$51.35"
1,0,"Flotsam - Ursula's Spy",001,43,Amethyst,Rare,"$0.11","$1.01"
0,0,"Jafar - Keeper of Secrets",001,44,Amethyst,Rare,"$0.23","$1.23"
2,0,"Jafar - Wicked Sorcerer",001,45,Amethyst,Common,"$0.07","$0.22"
2,0,"Jetsam - Ursula's Spy",001,46,Amethyst,Common,"$0.04","$0.23"
3,0,"Magic Broom - Bucket Brigade",001,47,Amethyst,Common,"$0.08","$0.44"
0,0,"Maleficent - Biding Her Time",001,48,Amethyst,Rare,"$6.54","$8.86"
3,0,"Maleficent - Sorceress",001,49,Amethyst,Common,"$0.16","$0.97"
0,0,"Marshmallow - Persistent Guardian",001,50,Amethyst,Super Rare,"$0.20","$1.00"
0,1,"Mickey Mouse - Wayward Sorcerer",001,51,Amethyst,Super Rare,"$1.24","$1.51"
3,0,"Olaf - Friendly Snowman",001,52,Amethyst,Uncommon,"$0.09","$1.71"
2,0,"Pascal - Rapunzel's Companion",001,53,Amethyst,Uncommon,"$0.19","$2.08"
4,0,"Rafiki - Mysterious Sage",001,54,Amethyst,Uncommon,"$0.06","$0.41"
1,0,"Sven - Official Ice Deliverer",001,55,Amethyst,Uncommon,"$0.06","$0.36"
0,0,"The Queen - Wicked and Vain",001,56,Amethyst,Super Rare,"$0.30","$1.29"
3,0,"The Wardrobe - Belle's Confidant",001,57,Amethyst,Common,"$0.06","$0.15"
0,0,"Tinker Bell - Peter Pan's Ally",001,58,Amethyst,Common,"$0.06","$0.23"
0,0,"Ursula - Power Hungry",001,59,Amethyst,Legendary,"$1.73","$15.32"
2,0,"Yzma - Alchemist",001,60,Amethyst,Common,"$0.05","$0.19"
0,0,"Zeus - God of Lightning",001,61,Amethyst,Rare,"$0.25","$1.02"
0,0,"Befuddle",001,62,Amethyst,Uncommon,"$0.45","$2.35"
2,0,"Freeze",001,63,Amethyst,Common,"$0.06","$0.22"
3,0,"Friends on the Other Side",001,64,Amethyst,Common,"$0.50","$4.87"
1,0,"Reflection",001,65,Amethyst,Uncommon,"$0.10","$0.42"
0,0,"Magic Mirror",001,66,Amethyst,Rare,"$0.23","$0.90"
0,0,"Ursula's Cauldron",001,67,Amethyst,Uncommon,"$0.11","$0.54"
0,0,"White Rabbit's Pocket Watch",001,68,Amethyst,Rare,"$0.25","$0.65"
2,0,"Aladdin - Prince Ali",001,69,Emerald,Common,"$0.05","$0.21"
0,0,"Beast - Wolfsbane",001,70,Emerald,Legendary,"$1.88","$13.96"
0,0,"Cheshire Cat - Not All There",001,71,Emerald,Uncommon,"$0.25","$0.74"
0,1,"Cruella De Vil - Miserable as Usual",001,72,Emerald,Rare,"$0.13","$0.17"
2,0,"Duke of Weselton - Opportunistic Official",001,73,Emerald,Common,"$0.05","$0.16"
1,0,"Flynn Rider - Charming Rogue",001,74,Emerald,Uncommon,"$0.93","$2.42"
0,0,"Genie - On the Job",001,75,Emerald,Super Rare,"$0.33","$1.58"
0,0,"Genie - Powers Unleashed",001,76,Emerald,Rare,"$0.23","$1.01"
0,0,"Genie - The Ever Impressive",001,77,Emerald,Common,"$0.06","$0.20"
1,0,"Hans - Scheming Prince",001,78,Emerald,Rare,"$0.26","$1.21"
6,0,"Horace - No-Good Scoundrel",001,79,Emerald,Common,"$0.02","$0.16"
1,0,"Iago - Loud-Mouthed Parrot",001,80,Emerald,Rare,"$0.12","$0.64"
4,0,"Jasper - Common Crook",001,81,Emerald,Uncommon,"$0.06","$0.28"
0,0,"John Silver - Alien Pirate",001,82,Emerald,Legendary,"$1.74","$12.39"
0,0,"Jumba Jookiba - Renegade Scientist",001,83,Emerald,Uncommon,"$0.08","$0.30"
0,0,"Kuzco - Temperamental Emperor",001,84,Emerald,Rare,"$0.37","$2.05"
0,0,"Lady Tremaine - Wicked Stepmother",001,85,Emerald,Rare,"$0.21","$1.21"
3,0,"Mad Hatter - Gracious Host",001,86,Emerald,Uncommon,"$0.12","$0.48"
4,0,"Megara - Pulling the Strings",001,87,Emerald,Common,"$0.06","$0.17"
0,0,"Mickey Mouse - Artful Rogue",001,88,Emerald,Super Rare,"$0.27","$2.30"
3,0,"Mickey Mouse - Steamboat Pilot",001,89,Emerald,Common,"$0.05","$0.20"
0,0,"Mother Gothel - Selfish Manipulator",001,90,Emerald,Super Rare,"$0.45","$1.27"
2,0,"Peter Pan - Never Landing",001,91,Emerald,Common,"$0.07","$0.20"
0,0,"Tamatoa - Drab Little Crab",001,92,Emerald,Uncommon,"$0.07","$0.39"
1,0,"Tinker Bell - Most Helpful",001,93,Emerald,Common,"$0.13","$0.30"
0,0,"Do It Again!",001,94,Emerald,Rare,"$0.24","$1.22"
3,0,"Mother Knows Best",001,95,Emerald,Uncommon,"$0.10","$1.37"
2,0,"Stampede",001,96,Emerald,Common,"$0.05","$0.18"
1,0,"Steal from the Rich",001,97,Emerald,Rare,"$0.18","$0.69"
0,0,"Sudden Chill",001,98,Emerald,Common,"$0.24","$2.84"
0,0,"The Beast is Mine!",001,99,Emerald,Uncommon,"$0.08","$0.26"
2,0,"Vicious Betrayal",001,100,Emerald,Common,"$0.05","$0.20"
0,0,"Dr. Facilier's Cards",001,101,Emerald,Uncommon,"$0.07","$0.36"
2,0,"Stolen Scimitar",001,102,Emerald,Common,"$0.04","$0.18"
0,0,"Abu - Mischievous Monkey",001,103,Ruby,Common,"$0.07","$0.22"
0,1,"Aladdin - Heroic Outlaw",001,104,Ruby,Super Rare,"$0.33","$0.37"
3,0,"Aladdin - Street Rat",001,105,Ruby,Common,"$0.08","$0.21"
3,0,"Captain - Colonel's Lieutenant",001,106,Ruby,Uncommon,"$0.04","$0.22"
0,0,"Captain Hook - Ruthless Pirate",001,107,Ruby,Rare,"$0.20","$0.92"
2,0,"Donald Duck - Boisterous Fowl",001,108,Ruby,Uncommon,"$0.07","$0.34"
1,0,"Elsa - Ice Surfer",001,109,Ruby,Common,"$0.08","$0.18"
0,0,"Gaston - Arrogant Hunter",001,110,Ruby,Common,"$0.11","$0.44"
1,0,"Goofy - Daredevil",001,111,Ruby,Common,"$0.08","$0.23"
1,0,"LeFou - Instigator",001,112,Ruby,Rare,"$0.29","$1.62"
0,0,"Maleficent - Monstrous Dragon",001,113,Ruby,Legendary,"$24.86","$86.03"
0,0,"Maui - Hero to All",001,114,Ruby,Rare,"$14.05","$22.67"
2,0,"Mickey Mouse - Brave Little Tailor",001,115,Ruby,Legendary,"$3.70","$35.35"
2,1,"Minnie Mouse - Always Classy",001,116,Ruby,Common,"$0.06","$0.34"
0,0,"Moana - Chosen by the Ocean",001,117,Ruby,Uncommon,"$0.08","$0.45"
1,0,"Mulan - Imperial Soldier",001,118,Ruby,Super Rare,"$0.24","$0.43"
1,0,"Peter Pan - Fearless Fighter",001,119,Ruby,Common,"$0.06","$0.20"
3,0,"Pongo - Ol' Rascal",001,120,Ruby,Common,"$0.08","$0.22"
3,0,"Rapunzel - Letting Down Her Hair",001,121,Ruby,Uncommon,"$0.08","$0.35"
2,0,"Scar - Fiery Usurper",001,122,Ruby,Common,"$0.04","$0.17"
0,0,"Scar - Shameless Firebrand",001,123,Ruby,Rare,"$0.18","$1.04"
3,0,"Sergeant Tibbs - Courageous Cat",001,124,Ruby,Common,"$0.04","$0.19"
1,0,"Stitch - Abomination",001,125,Ruby,Rare,"$0.20","$1.34"
0,0,"Te Kā - The Burning One",001,126,Ruby,Super Rare,"$0.18","$0.71"
0,0,"Tigger - Wonderful Thing",001,127,Ruby,Uncommon,"$0.09","$0.39"
0,0,"Be Prepared",001,128,Ruby,Rare,"$9.77","$34.05"
0,0,"Cut to the Chase",001,129,Ruby,Uncommon,"$0.09","$0.27"
5,0,"Dragon Fire",001,130,Ruby,Uncommon,"$0.10","$0.68"
0,0,"Fan the Flames",001,131,Ruby,Uncommon,"$0.14","$0.38"
2,0,"He's Got a Sword!",001,132,Ruby,Common,"$0.04","$0.15"
0,0,"Tangle",001,133,Ruby,Common,"$0.06","$0.19"
0,0,"Poisoned Apple",001,134,Ruby,Rare,"$0.18","$1.32"
2,0,"Shield of Virtue",001,135,Ruby,Uncommon,"$0.08","$0.70"
0,0,"Sword of Truth",001,136,Ruby,Rare,"$0.18","$0.75"
0,0,"Ariel - Whoseit Collector",001,137,Sapphire,Rare,"$0.35","$2.31"
3,0,"Aurora - Briar Rose",001,138,Sapphire,Common,"$0.05","$0.19"
0,1,"Aurora - Dreaming Guardian",001,139,Sapphire,Super Rare,"$0.42","$0.42"
6,0,"Aurora - Regal Princess",001,140,Sapphire,Uncommon,"$0.09","$0.64"
1,0,"Belle - Inventive Engineer",001,141,Sapphire,Uncommon,"$0.10","$0.43"
0,0,"Belle - Strange but Special",001,142,Sapphire,Legendary,"$17.21","$47.37"
0,0,"Chief Tui - Respected Leader",001,143,Sapphire,Uncommon,"$0.11","$0.34"
0,0,"Donald Duck - Strutting His Stuff",001,144,Sapphire,Common,"$0.08","$0.20"
5,0,"Flounder - Voice of Reason",001,145,Sapphire,Common,"$0.06","$0.25"
3,0,"Gramma Tala - Storyteller",001,146,Sapphire,Uncommon,"$0.19","$0.97"
0,0,"Hades - Infernal Schemer",001,147,Sapphire,Legendary,"$9.03","$32.32"
3,0,"Jasmine - Disguised",001,148,Sapphire,Common,"$0.06","$0.20"
0,0,"Jasmine - Queen of Agrabah",001,149,Sapphire,Rare,"$0.45","$2.23"
3,0,"Maleficent - Sinister Visitor",001,150,Sapphire,Common,"$0.04","$0.18"
1,0,"Maleficent - Uninvited",001,151,Sapphire,Rare,"$0.15","$1.07"
0,0,"Maurice - World-Famous Inventor",001,152,Sapphire,Rare,"$0.30","$1.23"
0,0,"Merlin - Self-Appointed Mentor",001,153,Sapphire,Common,"$0.08","$0.17"
6,0,"Mickey Mouse - Detective",001,154,Sapphire,Common,"$0.09","$0.52"
2,1,"Mufasa - King of the Pride Lands",001,155,Sapphire,Common,"$0.06","$0.22"
2,0,"Philoctetes - Trainer of Heroes",001,156,Sapphire,Common,"$0.08","$0.16"
0,0,"Robin Hood - Unrivaled Archer",001,157,Sapphire,Super Rare,"$0.30","$5.73"
1,0,"Scar - Mastermind",001,158,Sapphire,Rare,"$0.14","$0.80"
0,0,"Tamatoa - So Shiny!",001,159,Sapphire,Super Rare,"$6.35","$26.89"
0,0,"Triton - The Sea King",001,160,Sapphire,Uncommon,"$0.08","$0.38"
3,0,"Develop Your Brain",001,161,Sapphire,Common,"$0.09","$0.92"
0,0,"If it's Not Baroque",001,162,Sapphire,Rare,"$0.20","$0.79"
0,0,"Let it Go",001,163,Sapphire,Rare,"$2.67","$7.05"
2,0,"One Jump Ahead",001,164,Sapphire,Uncommon,"$0.23","$6.55"
0,0,"Work Together",001,165,Sapphire,Common,"$0.06","$0.21"
4,0,"Coconut Basket",001,166,Sapphire,Uncommon,"$0.05","$0.29"
0,0,"Eye of the Fates",001,167,Sapphire,Uncommon,"$0.13","$0.76"
0,0,"Fishbone Quill",001,168,Sapphire,Rare,"$9.12","$23.97"
3,0,"Magic Golden Flower",001,169,Sapphire,Common,"$0.06","$0.25"
0,0,"Scepter of Arendelle",001,170,Sapphire,Uncommon,"$0.12","$0.41"
1,0,"Aladdin - Cornered Swordsman",001,171,Steel,Common,"$0.08","$0.21"
2,0,"Beast - Hardheaded",001,172,Steel,Uncommon,"$0.07","$0.57"
0,0,"Captain Hook - Captain of the Jolly Roger",001,173,Steel,Rare,"$0.29","$1.15"
3,0,"Captain Hook - Forceful Duelist",001,174,Steel,Common,"$0.11","$1.25"
0,0,"Captain Hook - Thinking a Happy Thought",001,175,Steel,Rare,"$0.33","$2.29"
0,0,"Cerberus - Three-Headed Dog",001,176,Steel,Common,"$0.07","$0.23"
0,0,"Donald Duck - Musketeer",001,177,Steel,Uncommon,"$0.14","$0.44"
1,0,"Gantu - Galactic Federation Captain",001,178,Steel,Legendary,"$1.34","$8.77"
2,0,"Goons - Maleficent's Underlings",001,179,Steel,Common,"$0.05","$0.19"
0,0,"Hans - Thirteenth in Line",001,180,Steel,Super Rare,"$0.43","$1.33"
2,0,"Hercules - True Hero",001,181,Steel,Common,"$0.14","$0.33"
3,0,"Kristoff - Official Ice Master",001,182,Steel,Common,"$0.04","$0.18"
1,0,"Kronk - Right-Hand Man",001,183,Steel,Uncommon,"$0.07","$0.39"
3,0,"Lilo - Galactic Hero",001,184,Steel,Uncommon,"$0.05","$0.33"
1,0,"Maui - Demigod",001,185,Steel,Rare,"$0.09","$0.80"
0,0,"Mickey Mouse - Musketeer",001,186,Steel,Rare,"$0.33","$1.60"
4,0,"Prince Eric - Dashing and Brave",001,187,Steel,Common,"$0.04","$0.23"
0,1,"Simba - Future King",001,188,Steel,Common,"$0.14","$0.38"
0,1,"Simba - Returned King",001,189,Steel,Rare,"$0.13","$0.17"
2,0,"Simba - Rightful Heir",001,190,Steel,Uncommon,"$0.04","$0.26"
0,0,"Starkey - Hook's Henchman",001,191,Steel,Uncommon,"$0.07","$0.36"
0,0,"Te Kā - Heartless",001,192,Steel,Legendary,"$1.22","$10.14"
0,0,"Tinker Bell - Giant Fairy",001,193,Steel,Super Rare,"$9.61","$19.82"
0,0,"Tinker Bell - Tiny Tactician",001,194,Steel,Common,"$0.13","$0.45"
1,0,"A Whole New World",001,195,Steel,Super Rare,"$12.49","$22.80"
0,0,"Break",001,196,Steel,Common,"$0.08","$0.15"
3,0,"Fire the Cannons!",001,197,Steel,Common,"$0.16","$0.81"
1,0,"Grab Your Sword",001,198,Steel,Rare,"$3.00","$12.61"
3,0,"Ransack",001,199,Steel,Uncommon,"$0.06","$0.38"
4,0,"Smash",001,200,Steel,Uncommon,"$0.15","$1.94"
1,0,"Beast's Mirror",001,201,Steel,Common,"$0.07","$0.22"
2,0,"Frying Pan",001,202,Steel,Uncommon,"$0.05","$0.23"
0,0,"Musketeer Tabard",001,203,Steel,Rare,"$0.28","$1.10"
0,0,"Plasma Blaster",001,204,Steel,Rare,"$0.25","$0.72"
0,0,"Hades - King of Olympus",001,205,Amber,Enchanted,"$107.05","$107.05"
0,0,"Stitch - Carefree Surfer",001,206,Amber,Enchanted,"$282.05","$282.05"
0,0,"Elsa - Spirit of Winter",001,207,Amethyst,Enchanted,"$839.37","$839.37"
0,0,"Mickey Mouse - Wayward Sorcerer",001,208,Amethyst,Enchanted,"$203.66","$203.66"
0,0,"Genie - On the Job",001,209,Emerald,Enchanted,"$117.27","$117.27"
0,0,"Mickey Mouse - Artful Rogue",001,210,Emerald,Enchanted,"$108.10","$108.10"
0,0,"Aladdin - Heroic Outlaw",001,211,Ruby,Enchanted,"$104.28","$104.28"
0,0,"Maui - Hero to All",001,212,Ruby,Enchanted,"$267.68","$267.68"
0,0,"Aurora - Dreaming Guardian",001,213,Sapphire,Enchanted,"$172.00","$172.00"
0,0,"Belle - Strange but Special",001,214,Sapphire,Enchanted,"$251.29","$251.29"
0,0,"Simba - Returned King",001,215,Steel,Enchanted,"$142.23","$142.23"
0,0,"Tinker Bell - Giant Fairy",001,216,Steel,Enchanted,"$290.47","$290.47"
0,0,"Mickey Mouse - Brave Little Tailor",P1,P1,Ruby,Promo,"$928.00",
0,0,"Stitch - Rock Star",P1,P2,Amber,Promo,"$4.44","$4.44"
0,0,"Elsa - Snow Queen",P1,P3,Amethyst,Promo,,
0,0,"Cruella de Vil - Miserable As Usual",P1,P4,Emerald,Promo,"$1.58","$1.58"
0,0,"Maleficent - Monstrous Dragon",P1,P5,Ruby,Promo,,
0,0,"Robin Hood - Unrivaled Archer",P1,P6,Sapphire,Promo,,
0,0,"Captain Hook - Forceful Duelist",P1,P7,Steel,Promo,,
0,0,"Mickey Mouse - Detective",P1,P8,Sapphire,Promo,"$4.47","$4.47"
0,0,"Heihei - Boat Snack",P1,P9,Amber,Promo,"$1.90","$1.90"
0,0,"Yzma - Alchemist",P1,P10,Amethyst,Promo,"$1.24","$1.24"
0,0,"Mickey Mouse - Musketeer",P1,P11,Steel,Promo,,
0,0,"Goofy - Musketeer",P1,P12,Amber,Promo,,
0,0,"Donald Duck - Musketeer",P1,P13,Steel,Promo,,
2,0,"Bashful - Hopeless Romantic",002,1,Amber,Uncommon,"$0.08","$0.35"
1,0,"Christopher Robin - Adventurer",002,2,Amber,Rare,"$0.18","$0.66"
0,0,"Cinderella - Ballroom Sensation",002,3,Amber,Rare,"$3.64","$7.51"
0,0,"Cobra Bubbles - Just a Social Worker",002,4,Amber,Rare,"$0.13","$0.46"
2,0,"Doc - Leader of the Seven Dwarfs",002,5,Amber,Uncommon,"$0.11","$1.20"
3,0,"Dopey - Always Playful",002,6,Amber,Uncommon,"$0.07","$0.34"
0,0,"Eudora - Accomplished Seamstress",002,7,Amber,Common,"$0.03","$0.18"
3,0,"Gaston - Baritone Bully",002,8,Amber,Uncommon,"$0.05","$0.42"
1,0,"Grand Duke - Advisor to the King",002,9,Amber,Rare,"$0.14","$0.78"
3,0,"Grumpy - Bad-Tempered",002,10,Amber,Common,"$0.04","$0.28"
3,0,"Happy - Good-Natured",002,11,Amber,Common,"$0.07","$0.20"
0,0,"King Louie - Jungle VIP",002,12,Amber,Super Rare,"$0.11","$0.45"
0,0,"Mickey Mouse - Friendly Face",002,13,Amber,Super Rare,"$0.28","$1.01"
0,0,"Mufasa - Betrayed Leader",002,14,Amber,Legendary,"$9.64","$26.75"
0,0,"Mulan - Free Spirit",002,15,Amber,Common,"$0.06","$0.20"
1,0,"Mulan - Reflecting",002,16,Amber,Rare,"$0.29","$1.45"
0,0,"Nana - Darling Family Pet",002,17,Amber,Uncommon,"$0.06","$0.29"
0,0,"Piglet - Very Small Animal",002,18,Amber,Common,"$0.05","$0.21"
0,0,"Rapunzel - Gifted Artist",002,19,Amber,Uncommon,"$0.20","$0.52"
0,0,"Rapunzel - Sunshine",002,20,Amber,Common,"$0.08","$0.25"
3,0,"Sleepy - Nodding Off",002,21,Amber,Common,"$0.06","$0.27"
3,0,"Sneezy - Very Allergic",002,22,Amber,Common,"$0.05","$0.25"
3,0,"Snow White - Lost in the Forest",002,23,Amber,Common,"$0.08","$0.28"
0,0,"Snow White - Unexpected Houseguest",002,24,Amber,Uncommon,"$0.19","$0.68"
0,0,"Snow White - Well Wisher",002,25,Amber,Legendary,"$3.51","$13.60"
0,1,"The Queen - Commanding Presence",002,26,Amber,Super Rare,"$0.77","$1.06"
3,0,"The Queen - Regal Monarch",002,27,Amber,Common,"$0.13","$1.36"
0,0,"Hold Still",002,28,Amber,Common,"$0.05","$0.14"
0,0,"Last Stand",002,29,Amber,Uncommon,"$0.06","$0.26"
2,0,"Painting the Roses Red",002,30,Amber,Common,"$0.07","$0.38"
0,0,"World's Greatest Criminal Mind",002,31,Amber,Rare,"$0.80","$3.24"
0,0,"Zero to Hero",002,32,Amber,Uncommon,"$0.12","$0.58"
0,0,"Dragon Gem",002,33,Amber,Rare,"$0.17","$0.56"
0,0,"Sleepy's Flute",002,34,Amber,Rare,"$0.46","$4.66"
0,1,"Arthur - Wizard's Apprentice",002,35,Amethyst,Super Rare,"$1.10","$2.77"
0,0,"Blue Fairy - Rewarding Good Deeds",002,36,Amethyst,Uncommon,"$0.13","$0.90"
3,0,"Chip the Teacup - Gentle Soul",002,37,Amethyst,Common,"$0.03","$0.14"
2,0,"Dr. Facilier - Savvy Opportunist",002,38,Amethyst,Common,"$0.05","$0.18"
0,0,"Elsa - Gloves Off",002,39,Amethyst,Common,"$0.09","$0.26"
0,0,"Fairy Godmother - Here to Help",002,40,Amethyst,Uncommon,"$0.05","$0.32"
0,0,"Fairy Godmother - Mystic Armorer",002,41,Amethyst,Legendary,"$2.37","$7.88"
0,0,"Fairy Godmother - Pure Heart",002,42,Amethyst,Common,"$0.05","$0.17"
5,0,"HeiHei - Persistent Presence",002,43,Amethyst,Uncommon,"$0.07","$0.33"
1,0,"Jiminy Cricket - Pinocchio's Conscience",002,44,Amethyst,Common,"$0.06","$0.16"
3,0,"Kuzco - Wanted Llama",002,45,Amethyst,Common,"$0.08","$0.49"
1,0,"Madam Mim - Fox",002,46,Amethyst,Rare,"$4.30","$22.36"
0,0,"Madam Mim - Purple Dragon",002,47,Amethyst,Legendary,"$2.48","$9.16"
0,0,"Madam Mim - Rival of Merlin",002,48,Amethyst,Rare,"$0.27","$0.97"
3,0,"Madam Mim - Snake",002,49,Amethyst,Uncommon,"$0.23","$9.28"
2,0,"Merlin - Crab",002,50,Amethyst,Common,"$0.12","$0.91"
3,0,"Merlin - Goat",002,51,Amethyst,Uncommon,"$0.26","$8.63"
1,0,"Merlin - Rabbit",002,52,Amethyst,Rare,"$2.16","$19.91"
0,1,"Merlin - Shapeshifter",002,53,Amethyst,Rare,"$0.17","$0.20"
2,0,"Merlin - Squirrel",002,54,Amethyst,Common,"$0.06","$0.19"
0,0,"Peter Pan's Shadow - Not Sewn On",002,55,Amethyst,Super Rare,"$0.37","$1.32"
0,0,"Pinocchio - Star Attraction",002,56,Amethyst,Rare,"$1.76","$3.50"
0,0,"Pinocchio - On the Run",002,57,Amethyst,Uncommon,"$0.07","$0.34"
0,0,"Pinocchio - Talkative Puppet",002,58,Amethyst,Uncommon,"$0.14","$0.78"
1,0,"Winnie the Pooh - Hunny Wizard",002,59,Amethyst,Common,"$0.10","$0.45"
0,0,"Yzma - Scary Beyond All Reason",002,60,Amethyst,Super Rare,"$0.56","$2.57"
0,0,"Yzma - Without Beauty Sleep",002,61,Amethyst,Uncommon,"$0.04","$0.28"
0,0,"Gruesome and Grim",002,62,Amethyst,Rare,"$0.20","$0.63"
2,0,"I'm Stuck!",002,63,Amethyst,Common,"$0.04","$0.25"
0,0,"Legend of the Sword in the Stone",002,64,Amethyst,Common,"$0.07","$0.15"
0,0,"Binding Contract",002,65,Amethyst,Uncommon,"$0.04","$0.24"
0,0,"Croquet Mallet",002,66,Amethyst,Common,"$0.05","$0.18"
0,0,"Perplexing Signposts",002,67,Amethyst,Rare,"$0.17","$0.55"
0,0,"The Sorcerer's Spellbook",002,68,Amethyst,Rare,"$0.63","$2.12"
0,0,"Arthur - Trained Swordsman",002,69,Emerald,Common,"$0.07","$0.19"
0,0,"Beast - Relentless",002,70,Emerald,Legendary,"$4.57","$12.40"
0,0,"Belle - Bookworm",002,71,Emerald,Uncommon,"$0.09","$0.40"
0,0,"Belle - Hidden Archer",002,72,Emerald,Legendary,"$4.08","$12.83"
0,0,"Bucky - Squirrel Squeak Tutor",002,73,Emerald,Uncommon,"$0.15","$0.99"
0,0,"Cheshire Cat - Always Grinning",002,74,Emerald,Uncommon,"$0.10","$0.30"
0,0,"Cheshire Cat - From the Shadows",002,75,Emerald,Super Rare,"$0.40","$1.25"
0,0,"Daisy Duck - Secret Agent",002,76,Emerald,Uncommon,"$0.15","$0.67"
0,0,"Donald Duck - Perfect Gentleman",002,77,Emerald,Uncommon,"$0.12","$0.66"
0,0,"Donald Duck - Sleepwalker",002,78,Emerald,Common,"$0.03","$0.22"
0,0,"Dr. Facilier - Fortune Teller",002,79,Emerald,Super Rare,"$0.23","$0.79"
0,0,"Enchantress - Unexpected Judge",002,80,Emerald,Common,"$0.10","$0.24"
1,0,"Flynn Rider - Confident Vagabond",002,81,Emerald,Common,"$0.07","$0.28"
0,0,"Flynn Rider - His Own Biggest Fan",002,82,Emerald,Rare,"$0.59","$1.46"
0,0,"Gaston - Scheming Suitor",002,83,Emerald,Common,"$0.07","$0.14"
0,0,"Little John - Loyal Friend",002,84,Emerald,Rare,"$0.13","$0.47"
0,0,"Lucifer - Cunning Cat",002,85,Emerald,Rare,"$0.31","$1.54"
0,0,"Pain - Underworld Imp",002,86,Emerald,Uncommon,"$0.07","$0.29"
0,0,"Panic - Underworld Imp",002,87,Emerald,Common,"$0.05","$0.19"
0,0,"Pete - Bad Guy",002,88,Emerald,Rare,"$0.25","$1.14"
0,0,"Prince John - Greediest of All",002,89,Emerald,Rare,"$4.37","$13.60"
0,0,"Queen of Hearts - Quick-Tempered",002,90,Emerald,Common,"$0.06","$0.20"
0,0,"Ratigan - Criminal Mastermind",002,91,Emerald,Common,"$0.06","$0.17"
0,0,"Ray - Easygoing Firefly",002,92,Emerald,Common,"$0.09","$0.23"
