Card Name,Set Number,Card Number,Ink Color,Ink Cost,Inkable,Quantity Available
Dr. Facilier - Charlatan,1,38,AMETHYST,2,True,4
Jetsam - Ursula’s Spy,1,46,AMETHYST,4,True,2
Horace - No-Good Scoundrel,1,79,EMERALD,3,True,6
Mad Hatter - Gracious Host,1,86,EMERALD,5,True,3
Donald Duck - Boisterous Fowl,1,108,RUBY,2,True,2
Pongo - Ol’ Rascal,1,120,RUBY,4,True,3
Hercules - True Hero,1,181,STEEL,3,True,2
Sleepy - Nodding Off,2,21,AMBER,2,True,3
Snow White - Lost in the Forest,2,23,AMBER,2,True,3
Jasmine - Heir of Agrabah,2,151,SAPPHIRE,1,True,1
Mama Odie - Mystical Maven,3,151,SAPPHIRE,3,False,1
Ursula - Eric's Bride,4,24,AMBER,4,False,1
Li Shang - General’s Son,4,111,RUBY,1,True,1
Ariel - Determined Mermaid,4,174,STEEL,3,True,5
Hercules - Beloved Hero,4,180,STEEL,6,True,2
Anna - Mystical Majesty,5,46,AMETHYST,7,False,1
Robin Hood - Timely Contestant,5,69,EMERALD,9,False,1
Shenzi - Scar's Accomplice,5,70,EMERALD,3,True,2
Ed - Laughing Hyena,5,74,EMERALD,3,False,3
Ed - Hysterical Partygoer,5,81,EMERALD,4,False,1
Shenzi - Head Hyena,5,91,EMERALD,5,True,1
Wreck-It Ralph - Demolition Dude,5,104,RUBY,3,True,1
Simba - Adventurous Successor,5,125,RUBY,1,False,3
Scar - Vengeful Lion,5,212,EMERALD,4,True,1
Thebes - The Big Olive,4,204,STEEL,2,True,4
Dinglehopper,1,32,AMBER,1,True,3
Gumbo Pot,2,167,SAPPHIRE,2,True,2
Medal of Heroes,5,165,SAPPHIRE,2,True,1
Cinderella - Gentle and Kind,1,3,AMBER,4,True,3
Mickey Mouse - True Friend,1,12,AMBER,3,True,3
Flotsam - Ursula’s Spy,1,43,AMETHYST,5,False,1
HeiHei - Boat Snack,1,9,AMBER,1,True,2
Yzma - Alchemist,1,10,AMETHYST,2,True,2
Maleficent - Uninvited,1,22,SAPPHIRE,5,True,1
Happy - Good-Natured,2,11,AMBER,5,True,3
Dr. Facilier - Savvy Opportunist,2,38,AMETHYST,4,True,2
HeiHei - Persistent Presence,2,43,AMETHYST,2,True,5
Flynn Rider - Confident Vagabond,2,81,EMERALD,1,True,1
Owl - Logical Lecturer,2,156,SAPPHIRE,1,True,3
The Nokk - Water Spirit,2,160,SAPPHIRE,4,True,4
Kronk - Junior Chipmunk,2,185,STEEL,6,True,1
Tiana - Diligent Waitress,2,197,STEEL,1,True,3
Rolly - Hungry Pup,3,21,AMBER,3,True,6
Flotsam - Riffraff,3,72,EMERALD,3,True,3
Jetsam - Riffraff,3,76,EMERALD,3,True,2
Kit Cloudkicker - Navigator,3,147,SAPPHIRE,6,True,1
Ariel - Singing Mermaid,4,3,AMBER,4,True,1
Hercules - Daring Demigod,4,109,RUBY,5,False,3
Aladdin - Resolute Swordsman,4,172,STEEL,1,True,5
Mickey Mouse - Standard Bearer,4,188,STEEL,2,True,4
Archimedes - Exasperated Owl,5,39,AMETHYST,3,True,2
Bruni - Fire Salamander,5,40,AMETHYST,4,True,3
Motunui - Island Paradise,3,170,SAPPHIRE,2,True,2
Nottingham - Prince John's Castle,3,203,STEEL,2,True,1
Pride Lands - Pride Rock,3,207,AMBER,2,False,1
Winter Camp - Medical Tent,4,170,SAPPHIRE,3,True,1
Steal from the Rich,1,97,EMERALD,5,False,1
Improvise,2,99,EMERALD,1,True,3
Heal What Has Been Hurt,3,26,AMBER,3,True,4
One Last Hope,4,197,STEEL,3,False,1
Ariel - On Human Legs,1,1,AMBER,4,True,3
Jafar - Wicked Sorcerer,1,45,AMETHYST,4,True,2
The Wardrobe - Belle’s Confidant,1,57,AMETHYST,3,True,3
Aladdin - Prince Ali,1,69,EMERALD,2,True,2
Duke of Weselton - Opportunistic Official,1,73,EMERALD,1,True,2
Rapunzel - Letting Down Her Hair,1,121,RUBY,6,False,3
Flounder - Voice of Reason,1,145,SAPPHIRE,1,True,5
Jasmine - Disguised,1,148,SAPPHIRE,3,True,3
Beast - Hardheaded,1,172,STEEL,5,True,2
Cruella De Vil - Miserable As Usual,1,4,EMERALD,2,True,1
Stitch - Abomination,1,21,RUBY,6,True,1
Merlin - Shapeshifter,2,53,AMETHYST,4,True,1
Merlin - Squirrel,2,54,AMETHYST,2,True,2
Hercules - Hero in Training,2,182,STEEL,2,True,2
Lucky - The 15th Puppy,3,8,AMBER,4,False,1
Nani - Protective Sister,3,12,AMBER,5,True,5
Tinker Bell - Generous Fairy,3,22,AMBER,4,False,3
Magic Broom - Dancing Duster,3,44,AMETHYST,6,False,1
Moana - Undeterred Voyager,3,117,RUBY,4,True,4
Simba - Scrappy Cub,3,123,RUBY,2,False,2
Dewey - Showy Nephew,3,139,SAPPHIRE,3,True,4
Louie - Chill Nephew,3,149,SAPPHIRE,4,True,5
Kida - Royal Warrior,3,177,STEEL,2,True,4
Captain Hook - Master Swordsman,3,214,RUBY,5,True,1
Mirabel Madrigal - Prophecy Finder,4,19,AMBER,2,True,4
Magic Broom - Lively Sweeper,4,49,AMETHYST,3,True,3
Mickey Mouse - Leader of the Band,4,34,AMBER,4,True,4
Genie - Main Attraction,5,49,AMETHYST,7,False,1
Banzai - Taunting Hyena,5,87,EMERALD,2,True,3
Taffyta Muttonfudge - Ruthless Rival,5,103,RUBY,2,True,2
Kronk - Head of Security,5,185,STEEL,7,False,1
Fang - River City,3,101,EMERALD,4,True,1
The Underworld - River Styx,4,34,AMBER,2,True,1
Imperial Bow,4,201,STEEL,2,True,3
I'm Stuck!,2,63,AMETHYST,1,True,2
Four Dozen Eggs,2,33,SAPPHIRE,4,True,2
Dig a Little Deeper,4,162,SAPPHIRE,8,False,2
Seldom All They Seem,4,164,SAPPHIRE,2,True,7
Tug-of-War,5,196,STEEL,5,True,1
Maximus - Relentless Pursuer,1,11,AMBER,3,True,2
Sven - Official Ice Deliverer,1,55,AMETHYST,6,True,1
Goofy - Daredevil,1,111,RUBY,5,True,1
Scar - Fiery Usurper,1,122,RUBY,4,True,2
Mufasa - King of the Pride Lands,1,155,SAPPHIRE,6,True,3
Philoctetes - Trainer of Heroes,1,156,SAPPHIRE,2,True,2
Lilo - Galactic Hero,1,184,STEEL,3,True,3
Dopey - Always Playful,2,6,AMBER,3,True,3
Gaston - Baritone Bully,2,8,AMBER,3,True,3
Grand Duke - Advisor to the King,2,9,AMBER,2,True,1
Sneezy - Very Allergic,2,22,AMBER,2,True,3
Chip the Teacup - Gentle Soul,2,37,AMETHYST,1,True,3
Mulan - Soldier in Training,2,117,RUBY,4,False,1
Basil - Of Baker Street,2,139,SAPPHIRE,2,True,2
Duke Weaselton - Small-Time Crook,2,146,SAPPHIRE,2,True,2
Winnie the Pooh - Having a Think,2,161,SAPPHIRE,3,True,1
The Huntsman - Reluctant Enforcer,2,194,STEEL,2,True,1
Arthur - Wizard's Apprentice,2,207,AMETHYST,3,False,1
Cubby - Mighty Lost Boy,3,69,EMERALD,4,True,4
Friar Tuck - Priest of Nottingham,3,73,EMERALD,4,True,1
Helga Sinclair - Vengeful Partner,3,75,EMERALD,2,True,1
Peter Pan - Lost Boy Leader,3,82,EMERALD,4,True,2
Wildcat - Mechanic,3,92,EMERALD,3,True,4
Kakamora - Menacing Sailor,3,111,RUBY,3,False,4
Moana - Born Leader,3,116,RUBY,5,True,1
Webby Vanderquack - Enthusiastic Duck,3,127,RUBY,3,True,5
Gyro Gearloose - Gadget Whiz,3,144,SAPPHIRE,3,True,1
Huey - Savvy Nephew,3,145,SAPPHIRE,2,True,2
Kit Cloudkicker - Spunky Bear Cub,3,148,SAPPHIRE,1,True,1
Maleficent - Mistress of All Evil,3,209,AMETHYST,5,True,1
Scrooge McDuck - Uncle Moneybags,3,39,SAPPHIRE,2,True,3
Agustin Madrigal - Clumsy Dad,4,1,AMBER,1,True,4
Daisy Duck - Lovely Lady,4,6,AMBER,1,True,2
Félix Madrigal - Fun-Loving Family Man,4,9,AMBER,3,True,2
Pascal - Inquisitive Pet,4,151,SAPPHIRE,3,True,3
Ling - Imperial Soldier,4,183,STEEL,3,True,2
Gale - Wind Spirit,5,42,AMETHYST,3,True,2
Maleficent - Vengeful Sorceress,5,54,AMETHYST,2,True,2
Rancis Fluggerbutter - Chocolate Charger,5,108,RUBY,4,True,2
Snowanna Rainbeau - Cool Competitor,5,110,RUBY,3,False,2
Simba - Lost Prince,5,173,STEEL,3,True,4
Kronk - Unlicensed Investigator,5,178,STEEL,2,True,4
Never Land - Mermaid Lagoon,3,32,AMBER,1,True,3
Tiana's Palace - Jazz Restaurant,3,34,AMBER,3,False,1
De Vil Manor - Cruella's Estate,3,100,EMERALD,1,True,3
The Bayou - Mysterious Swamp,3,204,STEEL,1,True,1
Tropical Rainforest - Jaguar Lair,5,102,EMERALD,3,True,2
Coconut Basket,1,166,SAPPHIRE,2,True,4
Last Cannon,2,202,STEEL,1,True,2
Vault Door,3,167,SAPPHIRE,4,True,2
Miracle Candle,4,31,AMBER,2,True,1
Field of Ice,4,166,SAPPHIRE,3,True,2
The Sword Released,5,133,RUBY,3,False,1
Control Your Temper!,1,26,AMBER,1,True,4
Freeze,1,63,AMETHYST,2,False,2
Stampede,1,96,EMERALD,1,False,2
Vicious Betrayal,1,100,EMERALD,1,True,2
He's Got a Sword!,1,132,RUBY,1,True,2
It Calls Me,3,61,AMETHYST,1,True,1
Voyage,3,131,RUBY,1,True,3
Poor Unfortunate Souls,4,60,AMETHYST,2,True,2
Glimmer vs Glimmer,5,130,RUBY,4,False,2
Food Fight!,5,199,STEEL,1,False,2
Elsa - Queen Regent,1,40,AMETHYST,4,True,3
Rafiki - Mysterious Sage,1,54,AMETHYST,3,False,4
Hans - Scheming Prince,1,78,EMERALD,4,True,1
Megara - Pulling the Strings,1,87,EMERALD,2,True,4
Peter Pan - Never Landing,1,91,EMERALD,3,True,2
Sergeant Tibbs - Courageous Cat,1,124,RUBY,1,True,3
Aurora - Briar Rose,1,138,SAPPHIRE,4,True,3
Maleficent - Sinister Visitor,1,150,SAPPHIRE,4,True,3
Simba - Rightful Heir,1,190,STEEL,5,False,2
Mulan - Reflecting,2,16,AMBER,4,True,1
Eli La Bouff - Big Daddy,2,179,STEEL,4,True,2
Patch - Intimidating Pup,3,14,AMBER,4,True,4
Queen of Hearts - Wonderland Empress,3,20,AMBER,3,True,3
Magica De Spell - Thieving Sorceress,3,50,AMETHYST,4,True,3
Della Duck - Unstoppable Mom,3,106,RUBY,2,False,4
HeiHei - Accidental Explorer,3,107,RUBY,2,True,3
Flintheart Glomgold - Lone Cheater,3,140,SAPPHIRE,4,True,2
Helga Sinclair - Right-Hand Woman,3,175,STEEL,3,True,2
Scrooge McDuck - Richest Duck in the World,3,218,SAPPHIRE,5,False,2
Cogsworth - Majordomo,4,5,AMBER,4,True,1
Prince Eric - Seafaring Prince,4,21,AMBER,3,True,3
Stitch - Alien Dancer,4,23,AMBER,2,True,4
Antonio Madrigal - Animal Expert,4,35,AMETHYST,3,True,5
Camilo Madrigal - Prankster,4,40,AMETHYST,4,True,2
Luisa Madrigal - Magically Strong One,4,47,AMETHYST,4,False,5
Pepa Madrigal - Weather Maker,4,53,AMETHYST,5,False,2
Megara - Liberated One,4,80,EMERALD,5,True,1
Khan - Beloved Steed,4,110,RUBY,2,True,2
Flounder - Collector’s Companion,4,144,SAPPHIRE,3,True,2
Rapunzel - Appreciative Artist,4,153,SAPPHIRE,5,True,1
Mulan - Armored Fighter,4,189,STEEL,4,True,2
Flotsam & Jetsam - Entangling Eels,4,40,AMETHYST,6,True,1
"Fix-It Felix, Jr. - Trusty Builder",5,10,AMBER,3,True,1
Little John - Camp Cook,5,71,EMERALD,1,True,3
Zazu - Advisor to Mufasa,5,72,EMERALD,5,True,2
Turbo - Royal Hack,5,106,RUBY,2,False,2
Mickey Mouse - Enthusiastic Dancer,5,112,RUBY,4,True,2
The Queen - Cruelest of All,5,139,SAPPHIRE,2,True,1
Arthur - Wart,5,190,STEEL,2,True,2
Olaf - Happy Passenger,5,209,AMETHYST,9,False,2
Casa Madrigal - Casita,4,67,AMETHYST,1,True,3
Scrooge's Top Hat,3,166,SAPPHIRE,2,False,1
Map of Treasure Planet,3,201,STEEL,3,True,1
Signed Contract,4,99,EMERALD,2,True,1
Amber Chromicon,5,32,AMBER,2,True,1
Retrosphere,5,64,AMETHYST,1,True,2
Obscurosphere,5,99,EMERALD,1,True,1
Launch,2,164,SAPPHIRE,3,False,3
99 Puppies,3,24,AMBER,5,False,1
On Your Feet! Now!,3,130,RUBY,4,False,1
Hypnotic Strength,5,59,AMETHYST,2,True,4
When Will My Life Begin?,5,197,STEEL,3,True,4
Sebastian - Court Composer,1,19,AMBER,2,True,2
Iago - Loud-Mouthed Parrot,1,80,EMERALD,3,True,1
Mickey Mouse - Steamboat Pilot,1,89,EMERALD,3,True,3
Captain - Colonel’s Lieutenant,1,106,RUBY,5,True,3
Mulan - Imperial Soldier,1,118,RUBY,5,True,1
Belle - Inventive Engineer,1,141,SAPPHIRE,3,True,1
Goons - Maleficent’s Underlings,1,179,STEEL,1,True,2
Simba - Returned King,1,215,STEEL,7,True,1
Christopher Robin - Adventurer,2,2,AMBER,6,True,1
Winnie the Pooh - Hunny Wizard,2,59,AMETHYST,5,True,1
Cogsworth - Talking Clock,2,143,SAPPHIRE,2,True,2
Prince Naveen - Penniless Royal,2,191,STEEL,3,True,3
Bernard - Brand-New Agent,3,2,AMBER,4,True,2
Diablo - Faithful Pet,3,37,AMETHYST,1,True,3
Hydros - Ice Titan,3,39,AMETHYST,3,True,1
Magic Carpet - Flying Rug,3,47,AMETHYST,2,True,1
Magica De Spell - Ambitious Witch,3,48,AMETHYST,2,True,3
Mama Odie - Voice of Wisdom,3,52,AMETHYST,6,False,1
Starkey - Devious Pirate,3,88,EMERALD,7,True,3
Maui - Soaring Demigod,3,113,RUBY,3,False,3
The Queen - Mirror Seeker,3,156,SAPPHIRE,4,True,1
Mirabel Madrigal - Gift of the Family,4,18,AMBER,5,False,1
Bruno Madrigal - Out of the Shadows,4,38,AMETHYST,5,False,1
Prince Phillip - Vanquisher of Foes,4,87,EMERALD,9,True,1
Prince Phillip - Gallant Defender,4,152,SAPPHIRE,3,True,1
Sisu - Wise Friend,4,155,SAPPHIRE,6,True,2
Beast - Thick-Skinned,4,176,STEEL,3,True,2
Li Shang - Imperial Captain,4,182,STEEL,5,True,6
Luisa Madrigal - Rock of the Family,4,184,STEEL,3,True,1
Merlin - Turtle,5,38,AMETHYST,4,True,1
Earth Giant - Living Mountain,5,41,AMETHYST,4,True,2
King of Hearts - Monarch of Wonderland,5,57,AMETHYST,4,True,2
Daisy Duck - Spotless Food-Fighter,5,111,RUBY,2,True,2
Ratigan - Raging Rat,5,113,RUBY,3,True,1
Minnie Mouse - Dazzling Dancer,5,126,RUBY,3,True,2
HeiHei - Protective Rooster,5,179,STEEL,5,True,2
Stolen Scimitar,1,102,EMERALD,2,True,2
Fang Crossbow,2,166,SAPPHIRE,3,True,2
Record Player,4,32,AMBER,2,True,1
Sapphire Chromicon,5,168,SAPPHIRE,4,False,1
Ransack,1,199,STEEL,2,True,3
Repair,3,162,SAPPHIRE,2,True,3
First Aid,4,27,AMBER,1,True,6
Night Howler Rage,5,95,EMERALD,3,True,3
Finders Keepers,5,4,AMETHYST,5,True,2
LeFou - Bumbler,1,8,AMBER,2,True,2
Elsa - Ice Surfer,1,109,RUBY,4,True,1
Aladdin - Cornered Swordsman,1,171,STEEL,2,True,1
Maui - Demigod,1,23,STEEL,8,True,1
Mickey Mouse - Brave Little Tailor,1,1,RUBY,8,True,2
Honest John - Not That Honest,2,109,RUBY,3,False,1
Raya - Warrior of Kumandra,2,124,RUBY,4,True,1
Mr. Snoops - Inept Businessman,3,11,AMBER,6,True,2
Lena Sabrewing - Rebellious Teenager,3,43,AMETHYST,2,True,2
Stratos - Tornado Titan,3,55,AMETHYST,5,True,1
The Queen - Hateful Rival,3,57,AMETHYST,3,True,4
Skippy - Energetic Rabbit,3,87,EMERALD,2,True,2
Zazu - Steward of the Pride Lands,3,93,EMERALD,1,True,3
Billy Bones - Keeper of the Map,3,104,RUBY,5,True,3
Peter Pan - Never Land Hero,3,119,RUBY,3,True,2
Scroop - Backstabber,3,122,RUBY,5,True,1
Stitch - Little Rocket,3,125,RUBY,2,False,1
Audrey Ramirez - The Engineer,3,137,SAPPHIRE,5,True,2
Genie - Cramped in the Lamp,3,141,SAPPHIRE,2,True,2
Maid Marian - Delightful Dreamer,3,150,SAPPHIRE,5,True,4
Pluto - Mickey's Clever Friend,3,152,SAPPHIRE,3,True,2
Tinker Bell - Very Clever Fairy,3,157,SAPPHIRE,5,True,2
Hades - Hotheaded Ruler,3,174,STEEL,6,True,2
Mufasa - Champion of the Pride Lands,3,185,STEEL,7,True,1
Nala - Fierce Friend,3,186,STEEL,3,True,2
Razoul - Palace Guard,3,188,STEEL,2,True,3
Simba - Rightful King,3,193,STEEL,5,True,2
Mickey Mouse - Trumpeter,3,220,STEEL,4,False,1
Pico - Helpful Toucan,4,55,AMETHYST,2,True,1
Tick-Tock - Ever-Present Pursuer,4,56,AMETHYST,6,True,2
Tor - Florist,4,91,EMERALD,5,True,5
Benja - Bold Uniter,4,104,RUBY,4,True,1
Fa Zhou - Mulan's Father,4,105,RUBY,2,True,4
Fa Li - Mulan’s Mother,4,143,SAPPHIRE,1,True,1
Transformed Chef - Castle Stove,4,157,SAPPHIRE,4,True,2
The Nokk - Mythical Spirit,5,36,AMETHYST,6,True,2
Anna - Eager Acolyte,5,56,AMETHYST,3,False,3
Ulf - Mime,5,73,EMERALD,4,True,3
Flora - Good Fairy,5,75,EMERALD,3,True,1
Arthur - Novice Sparrow,5,121,RUBY,1,False,1
Rudy - Groove Disrupter,5,174,STEEL,1,True,2
Royal Guard - Bovine Protector,5,175,STEEL,4,True,4
Yzma - Unjustly Treated,5,184,STEEL,4,False,1
Kristoff - Reindeer Keeper,5,2,AMBER,9,False,1
Ursula’s Lair - Eye of the Storm,4,35,AMETHYST,3,False,1
Magic Golden Flower,1,169,SAPPHIRE,1,True,3
Beast’s Mirror,1,201,STEEL,2,True,1
Frying Pan,1,202,STEEL,2,True,2
Airfoil,3,97,EMERALD,2,True,1
Aurelian Gyrosensor,3,163,SAPPHIRE,2,True,1
